people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1254,"Peter Abbate",Peter,J.,Abbate,Jr.,,1,D,1,Rep,HD-049,6436872,4271,,Peter_Abbate,197702,0
1257,"George Amedore",George,A.,Amedore,Jr.,,2,R,2,Sen,SD-046,4493424,93083,,George_Amedore,258561,0
1258,"Carmen Arroyo",Carmen,E.,Arroyo,,,1,D,1,Rep,HD-084,13009274,4265,,Carmen_Arroyo,197727,0
1259,"Jeffrion Aubry",Jeffrion,L.,Aubry,,,1,D,1,Rep,HD-035,4993579,4250,,Jeffrion_Aubry,197686,0
1262,"William Barclay",William,A.,Barclay,,,2,R,1,Rep,HD-120,13009403,44325,,William_Barclay,212472,0
1265,"Michael Benedetto",Michael,R.,Benedetto,,,1,D,1,Rep,HD-082,13009292,55244,,Michael_Benedetto,226883,0
1269,"Philip Boyle",Philip,M.,Boyle,,,2,R,2,Sen,HD-027,4711935,4281,,Philip_Boyle,197661,0
1275,"Kevin Cahill",Kevin,A.,Cahill,,,1,D,1,Rep,HD-103,13009328,23137,,Kevin_Cahill,197698,0
1283,"William Colton",William,,Colton,,,1,D,1,Rep,HD-047,5597234,15171,,William_Colton,197697,0
1285,"Vivian Cook",Vivian,E.,Cook,,,1,D,1,Rep,HD-032,4889803,4294,,Vivian_Cook,197683,0
1287,"Marcos Crespo",Marcos,A.,Crespo,,,1,D,1,Rep,HD-085,6512570,111433,,Marcos_Crespo,245884,0
1288,"Clifford Crouch",Clifford,W.,Crouch,,,2,R,1,Rep,HD-122,6640219,4383,,Clifford_Crouch,197774,0
1289,"Michael Cusick",Michael,J.,Cusick,,,1,D,1,Rep,HD-063,5298095,44583,,Michael_Cusick,212468,0
1290,"Steven Cymbrowitz",Steven,,Cymbrowitz,,,1,D,1,Rep,HD-045,5738327,55177,,Steven_Cymbrowitz,208435,0
1292,"Michael DenDekker",Michael,G.,DenDekker,,,1,D,1,Rep,HD-034,13009210,110262,,Michael_DenDekker,271829,0
1294,"Jeffrey Dinowitz",Jeffrey,,Dinowitz,,,1,D,1,Rep,HD-081,6437070,4305,,Jeffrey_Dinowitz,197734,0
1296,"Steven Englebright",Steven,,Englebright,,,1,D,1,Rep,HD-004,5220614,4310,,Steven_Englebright,197657,0
1301,"Gary Finch",Gary,D.,Finch,,,2,R,1,Rep,HD-126,4829942,2345,,Gary_Finch,208439,0
1302,"Michael Fitzpatrick",Michael,J.,Fitzpatrick,,,2,R,1,Rep,HD-008,6608010,44259,,Michael_Fitzpatrick_(New_York),673074,0
1304,"Sandra Galef",Sandra,R.,Galef,,Sandy,1,D,1,Rep,SD-002,4477879,4316,,Sandra_Galef,197743,0
1305,"David Gantt",David,F.,Gantt,,,1,D,1,Rep,HD-137,5908789,4317,,David_Gantt,197785,0
1306,"Michael Gianaris",Michael,N.,Gianaris,,,1,D,2,Sen,SD-012,6512510,55455,,Michael_Gianaris,208434,0
1308,"Joseph Giglio",Joseph,M.,Giglio,,Joe,2,R,1,Rep,HD-148,6668287,58706,,Joseph_Giglio,239258,0
1309,"Deborah Glick",Deborah,J.,Glick,,,1,D,1,Rep,HD-066,2049486,4319,,Deborah_Glick,197719,0
1311,"Richard Gottfried",Richard,N.,Gottfried,,,1,D,1,Rep,HD-075,6401066,4320,,Richard_Gottfried,197717,0
1312,"Aileen Gunther",Aileen,M.,Gunther,,,1,D,1,Rep,HD-026,6462454,44402,,Aileen_Gunther,221662,0
1313,"Stephen Hawley",Stephen,M.,Hawley,,,2,R,1,Rep,HD-139,4679525,59388,,Stephen_Hawley,243140,0
1315,"Carl Heastie",Carl,E.,Heastie,,,1,D,1,Rep,HD-083,5623760,55228,,Carl_Heastie,208438,0
1316,"Andrew Hevesi",Andrew,D.,Hevesi,,,1,D,1,Rep,HD-028,6471175,57048,,Andrew_Hevesi,216118,0
1322,"Ellen Jaffee",Ellen,C.,Jaffee,,,1,D,1,Rep,HD-097,4591597,45057,,Ellen_Jaffee,250936,0
1326,"Brian Kavanagh",Brian,P.,Kavanagh,,,1,D,2,Sen,SD-026,13009276,66879,,Brian_Kavanagh,250933,0
1328,"Brian Kolb",Brian,M.,Kolb,,,2,R,1,Rep,HD-131,13009419,55336,,Brian_Kolb_(New_York),208440,0
1332,"Charles Lavine",Charles,D.,Lavine,,,1,D,1,Rep,HD-013,13009161,44694,,Charles_Lavine,226855,0
1333,"Joseph Lentol",Joseph,R.,Lentol,,,1,D,1,Rep,HD-050,6403238,4306,,Joseph_Lentol,359075,0
1334,"Barbara Lifton",Barbara,S.,Lifton,,,1,D,1,Rep,HD-125,5277712,44214,,Barbara_Lifton,203258,0
1337,"Donna Lupardo",Donna,A.,Lupardo,,,1,D,1,Rep,HD-123,13009408,44184,,Donna_Lupardo,226906,0
1339,"William Magnarelli",William,B.,Magnarelli,,,1,D,1,Rep,HD-129,5573324,23183,,William_Magnarelli,197772,0
1343,"David McDonough",David,G.,McDonough,,,2,R,1,Rep,HD-014,13009180,44667,,David_McDonough,210036,0
1348,"Michael Miller",Michael,G.,Miller,,,1,D,1,Rep,HD-038,6499783,116758,,Michael_Miller_(New_York),281310,0
1352,"Catherine Nolan",Catherine,T.,Nolan,,,1,D,1,Rep,HD-037,13009215,4366,,Catherine_Nolan,197688,0
1353,"Daniel O'Donnell",Daniel,J.,O'Donnell,,,1,D,1,Rep,HD-069,5220718,22903,,Daniel_O%27Donnell_(New_York),212471,0
1354,"Thomas Omara",Thomas,F.,Omara,,,2,R,2,Sen,SD-058,5320262,44804,,Thomas_O%27Mara,226912,0
1356,"Felix Ortiz",Felix,W.,Ortiz,,,1,D,1,Rep,HD-051,6437497,4371,,Felix_Ortiz,197704,0
1358,"Amy Paulin",Amy,R.,Paulin,,,1,D,1,Rep,HD-088,4607228,55220,,Amy_Paulin,209167,0
1359,"Crystal Peoples-Stokes",Crystal,D.,Peoples-Stokes,,,1,D,1,Rep,HD-141,5088504,23174,,Crystal_Peoples-Stokes,126640,0
1361,"Nick Perry","N. Nick",,Perry,,,1,D,1,Rep,HD-058,6437534,4375,,N._Nick_Perry,197711,0
1364,"Gary Pretlow","J. Gary",,Pretlow,,,1,D,1,Rep,HD-089,6437563,4381,,J._Gary_Pretlow,197737,0
1367,"Andrew Raia",Andrew,P.,Raia,,,2,R,1,Rep,HD-012,6641330,45093,,Andrew_Raia,212464,0
1368,"Philip Ramos",Philip,R.,Ramos,,Phil,1,D,1,Rep,HD-006,13009151,44588,,Philip_Ramos,212473,0
1371,"Jose Rivera",Jose,,Rivera,,,1,D,1,Rep,HD-078,6438059,55157,,Jose_Rivera,208437,0
1375,"Linda Rosenthal",Linda,B.,Rosenthal,,,1,D,1,Rep,HD-067,6471193,58067,,Linda_Rosenthal,215418,0
1381,"Robin Schimminger",Robin,L.,Schimminger,,,1,D,1,Rep,HD-140,13009435,4390,,Robin_Schimminger,197792,0
1387,"Albert Stirpe",Albert,A.,Stirpe,Jr.,Al,1,D,1,Rep,HD-127,6482765,66872,,Al_Stirpe,250945,0
1389,"James Tedisco",James,N.,Tedisco,II,,2,R,2,Sen,SD-049,4870935,4401,,James_Tedisco,197755,0
1390,"Fred Thiele",Fred,W.,Thiele,Jr.,,1,D,1,Rep,HD-001,6640674,4279,,Fred_Thiele,197655,0
1392,"Michele Titus",Michele,R.,Titus,,,1,D,1,Rep,HD-031,5347051,44549,,Michele_Titus,210101,0
1397,"Helene Weinstein",Helene,E.,Weinstein,,,1,D,1,Rep,HD-041,6437736,23094,,Helene_Weinstein,197691,0
1400,"Kenneth Zebrowski",Kenneth,P.,Zebrowski,Jr.,,1,D,1,Rep,HD-096,5524035,84110,,Kenneth_Zebrowski,255550,0
1402,"Joseph Addabbo",Joseph,P.,Addabbo,Jr.,,1,D,2,Sen,HD-010,6485373,44931,,Joseph_Addabbo,271824,0
1406,"Neil Breslin",Neil,D.,Breslin,,,1,D,2,Sen,SD-044,13013083,14244,,Neil_Breslin,197634,0
1413,"John Flanagan",John,J.,Flanagan,Jr.,,2,R,2,Sen,SD-002,6610039,4315,,John_J._Flanagan,197662,0
1417,"Joseph Griffo",Joseph,A.,Griffo,,,2,R,2,Sen,SD-047,13013095,68810,,Joseph_Griffo,250900,0
1424,"Liz Krueger",Liz,,Krueger,,,1,D,2,Sen,SD-028,4678562,55235,,Liz_Krueger,210039,0
1426,"Andrew Lanza",Andrew,J.,Lanza,,,2,R,2,Sen,SD-024,13013054,44472,,Andrew_Lanza,250887,0
1428,"Kenneth LaValle",Kenneth,P.,LaValle,,,2,R,2,Sen,SD-001,6640373,4238,,Kenneth_LaValle,197594,0
1431,"Elizabeth Little",Elizabeth,"O C",Little,,,2,R,2,Sen,SD-045,6640412,4342,,Betty_Little,197761,0
1436,"Velmanette Montgomery",Velmanette,,Montgomery,,,1,D,2,Sen,SD-025,13013042,4248,,Velmanette_Montgomery,197611,0
1442,"Kevin Parker",Kevin,S.,Parker,,,1,D,2,Sen,HD-006A,4004474,44519,,Kevin_Parker_(New_York),212476,0
1444,"Michael Ranzenhofer",Michael,H.,Ranzenhofer,,,2,R,2,Sen,SD-061,6679299,91672,,Michael_Ranzenhofer,271826,0
1445,"Joseph Robach",Joseph,E.,Robach,,,2,R,2,Sen,SD-056,4682268,4387,,Joseph_Robach,197786,0
1448,"Diane Savino",Diane,J.,Savino,,,1,D,2,Sen,SD-023,4915257,44510,,Diane_Savino,226837,0
1450,"Jose Serrano",Jose,M.,Serrano,,,1,D,2,Sen,SD-029,6462698,26981,,Jose_M._Serrano,228563,0
1451,"James Seward",James,L.,Seward,,,2,R,2,Sen,SD-051,4472829,4256,,James_L._Seward,197642,0
1456,"Toby Stavisky",Toby,Ann,Stavisky,,,1,D,2,Sen,SD-016,6390375,2317,,Toby_Ann_Stavisky,197609,0
1457,"Andrea Stewart-Cousins",Andrea,,Stewart-Cousins,,,1,D,2,Sen,SD-035,12456103,44199,,Andrea_Stewart-Cousins,251227,0
1462,"Catharine Young",Catharine,M.,Young,,,2,R,2,Sen,SD-057,6641132,2338,,Catharine_Young,197699,0
1482,Rules,,,Rules,,,0,,2,Sen,,0,0,,,0,439
1483,Budget,,,Budget,,,0,,1,Rep,,0,0,,,0,3907
1484,Budget,,,Budget,,,0,,2,Sen,,0,0,,,0,3907
1491,"Mark Weprin",Mark,S.,Weprin,,,1,D,1,Rep,HD-023,4806447,4411,,Mark_Weprin,197676,0
2375,"Michael Montesano",Michael,A.,Montesano,,,2,R,1,Rep,HD-015,6696547,119995,,Michael_Montesano,284567,0
11101,"Thomas Abinanti",Thomas,J.,Abinanti,,,1,D,1,Rep,HD-092,6437771,14240,,Thomas_Abinanti,309712,0
11102,"Edward Braunstein",Edward,C.,Braunstein,,,1,D,1,Rep,HD-026,6512489,127894,,Edward_Braunstein,309795,0
11103,"Mark Johns",Mark,C.,Johns,,,2,R,1,Rep,HD-135,6697346,55171,,Mark_Johns,309744,0
11105,"Nicole Malliotakis",Nicole,,Malliotakis,,,2,R,1,Rep,HD-064,13009241,127929,,Nicole_Malliotakis,309650,0
11106,"Robert Rodriguez",Robert,J.,Rodriguez,,,1,D,1,Rep,HD-068,6512322,127932,,Robert_Rodriguez,309656,0
11109,"David Carlucci",David,S.,Carlucci,,,1,D,2,Sen,SD-038,6511618,127829,,David_Carlucci,222520,0
11114,"Timothy Kennedy",Timothy,M.,Kennedy,,,1,D,2,Sen,SD-063,4838941,91670,,Timothy_M._Kennedy,309561,0
11116,"Gustavo Rivera",Gustavo,,Rivera,,,1,D,2,Sen,SD-033,6512519,127819,,J._Gustavo_Rivera,309553,0
11312,"Kenneth Blankenbush",Kenneth,D.,Blankenbush,,Ken,2,R,1,Rep,HD-117,4743566,91697,,Kenneth_Blankenbush,309030,0
11313,"Harry Bronson",Harry,B.,Bronson,,,1,D,1,Rep,HD-138,6512359,92093,,Harry_Bronson,309740,0
11316,"Christopher Friend",Christopher,S.,Friend,,,2,R,1,Rep,HD-124,5032395,91465,,Christopher_Friend,309069,0
11317,"Andrew Goodell",Andrew,,Goodell,,Andy,2,R,1,Rep,HD-150,6697368,128014,,Andrew_Goodell,309754,0
11325,"Philip Palmesano",Philip,A.,Palmesano,,,2,R,1,Rep,HD-132,4811260,127669,,Philip_Palmesano,203347,0
11326,"Edward Ra",Edward,P.,Ra,,,2,R,1,Rep,HD-019,6697215,127886,,Edward_Ra,309764,0
11328,"Aravella Simotas",Aravella,,Simotas,,,1,D,1,Rep,HD-036,4790246,127911,,Aravella_Simotas,309617,0
11331,"Patrick Gallivan",Patrick,M.,Gallivan,,Pat,2,R,2,Sen,SD-059,6696634,127657,,Patrick_Gallivan,309044,0
11604,"Patricia Ritchie",Patricia,A.,Ritchie,,Patty,2,R,2,Sen,SD-048,6696629,44452,,Patricia_Ritchie,309083,0
13334,"Sean Ryan",Sean,M.,Ryan,,,1,D,1,Rep,HD-149,6513634,135259,,Sean_Ryan,359039,0
13505,"Dan Quart",Dan,,Quart,,,1,D,1,Rep,HD-073,6513623,135257,,Dan_Quart,359069,0
13939,"Shelley Mayer",Shelley,B.,Mayer,,,1,D,2,Sen,SD-037,13009306,143182,,Shelley_Mayer,404779,0
13946,"Didi Barrett",Didi,,Barrett,,,1,D,1,Rep,HD-106,13009338,127871,,Didi_Barrett,309080,0
14204,"David Buchwald",David,,Buchwald,,,1,D,1,Rep,HD-093,15666218,133501,,David_Buchwald,431744,0
14205,"Patricia Fahy",Patricia,A.,Fahy,,,1,D,1,Rep,HD-109,15666227,143189,,Patricia_Fahy,433526,0
14206,"Ron Kim",Ron,,Kim,,,1,D,1,Rep,HD-040,5277415,112376,,Ron_Kim,431461,0
14207,"John McDonald",John,T.,McDonald,III,,1,D,1,Rep,HD-108,13789885,142711,,John_T._McDonald_III,431171,0
14209,"Walter Mosley",Walter,T.,Mosley,III,,1,D,1,Rep,HD-057,15666176,143150,,Walter_Mosley,431418,0
14210,"Steven Otis",Steven,,Otis,,,1,D,1,Rep,HD-091,15666216,143183,,Steven_Otis,203344,0
14213,"Nily Rozic",Nily,D.,Rozic,,,1,D,1,Rep,HD-025,15666143,143120,,Nily_Rozic,431451,0
